Interval,,Tran,sfer,Bitr,ate,Total Datagrams
28.00-29.00,sec,2.93,MBytes,24.6,Mbits/sec,2122
29.00-30.00,sec,3.53,MBytes,29.6,Mbits/sec,2558
30.00-31.00,sec,3.32,MBytes,27.9,Mbits/sec,2405
31.00-32.00,sec,3.11,MBytes,26.1,Mbits/sec,2250
32.00-33.00,sec,3.54,MBytes,29.7,Mbits/sec,2560
33.00-34.00,sec,3.36,MBytes,28.2,Mbits/sec,2432
34.00-35.00,sec,3.57,MBytes,30,Mbits/sec,2586
35.00-36.00,sec,3.39,MBytes,28.5,Mbits/sec,2457
36.00-37.00,sec,3.61,MBytes,30.3,Mbits/sec,2614
37.00-38.00,sec,3.55,MBytes,29.8,Mbits/sec,2573
38.00-39.00,sec,3.34,MBytes,28,Mbits/sec,2418
39.00-40.00,sec,3.25,MBytes,27.3,Mbits/sec,2353
40.00-41.00,sec,3.48,MBytes,29.2,Mbits/sec,2518
41.00-42.00,sec,3.45,MBytes,29,Mbits/sec,2500
42.00-43.00,sec,3.26,MBytes,27.4,Mbits/sec,2361
43.00-44.00,sec,3.58,MBytes,30,Mbits/sec,2592
44.00-45.00,sec,3.37,MBytes,28.3,Mbits/sec,2444
45.00-46.00,sec,3.45,MBytes,28.9,Mbits/sec,2496
46.00-47.00,sec,3.18,MBytes,26.7,Mbits/sec,2301
47.00-48.00,sec,3.32,MBytes,27.9,Mbits/sec,2405
48.00-49.00,sec,3.07,MBytes,25.8,Mbits/sec,2223
49.00-50.00,sec,3.46,MBytes,29.1,Mbits/sec,2509
50.00-51.00,sec,3.36,MBytes,28.2,Mbits/sec,2431
51.00-52.00,sec,3.57,MBytes,30,Mbits/sec,2587
52.00-53.00,sec,3.64,MBytes,30.6,Mbits/sec,2639
53.00-54.00,sec,3.43,MBytes,28.8,Mbits/sec,2483
54.00-55.00,sec,3.63,MBytes,30.4,Mbits/sec,2626
55.00-56.00,sec,3.43,MBytes,28.8,Mbits/sec,2483
56.00-57.00,sec,3.23,MBytes,27.1,Mbits/sec,2340
57.00-58.00,sec,3.37,MBytes,28.3,Mbits/sec,2444
58.00-59.00,sec,3.43,MBytes,28.8,Mbits/sec,2483
59.00-60.00,sec,3.39,MBytes,28.5,Mbits/sec,2458
60.00-61.00,sec,3.51,MBytes,29.4,Mbits/sec,2541
61.00-62.00,sec,3.64,MBytes,30.5,Mbits/sec,2637
62.00-63.00,sec,3.49,MBytes,29.3,Mbits/sec,2530
63.00-64.00,sec,3.54,MBytes,29.7,Mbits/sec,2565
64.00-65.00,sec,3.01,MBytes,25.3,Mbits/sec,2180
65.00-66.00,sec,3.34,MBytes,28,Mbits/sec,2418
66.00-67.00,sec,3.36,MBytes,28.2,Mbits/sec,2431
67.00-68.00,sec,3.5,MBytes,29.4,Mbits/sec,2535
68.00-69.00,sec,3.24,MBytes,27.2,Mbits/sec,2349
69.00-70.00,sec,3.16,MBytes,26.5,Mbits/sec,2285
70.00-71.00,sec,3.62,MBytes,30.3,Mbits/sec,2620
71.00-72.00,sec,3.09,MBytes,25.9,Mbits/sec,2236
72.00-73.00,sec,2.98,MBytes,25,Mbits/sec,2158
73.00-74.00,sec,3,MBytes,25.1,Mbits/sec,2171
74.00-75.00,sec,3.77,MBytes,31.6,Mbits/sec,2731
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,245,MBytes,27.4,Mbits/sec,0.000 ms  0/177137 (0%)  sender
0.00-75.04,sec,245,MBytes,27.3,Mbits/sec,0.547 ms  0/177136 (0%)  receiver
,,,,,,
Done.,,,,,,
