Interval,,Tran,sfer,Bitr,ate,Total Datagrams
53.00-54.00,sec,3.41,MBytes,28.6,Mbits/sec,2470
54.00-55.00,sec,3.64,MBytes,30.6,Mbits/sec,2639
55.00-56.00,sec,3.43,MBytes,28.8,Mbits/sec,2483
56.00-57.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
57.00-58.00,sec,3.32,MBytes,27.9,Mbits/sec,2405
58.00-59.00,sec,3.02,MBytes,25.3,Mbits/sec,2184
59.00-60.00,sec,3.21,MBytes,27,Mbits/sec,2327
60.00-61.00,sec,3.32,MBytes,27.9,Mbits/sec,2405
61.00-62.00,sec,3.43,MBytes,28.8,Mbits/sec,2483
62.00-63.00,sec,3.37,MBytes,28.3,Mbits/sec,2444
63.00-64.00,sec,3.21,MBytes,27,Mbits/sec,2327
64.00-65.00,sec,2.78,MBytes,23.3,Mbits/sec,2015
65.00-66.00,sec,2.94,MBytes,24.7,Mbits/sec,2132
66.00-67.00,sec,3.41,MBytes,28.6,Mbits/sec,2471
67.00-68.00,sec,2.96,MBytes,24.8,Mbits/sec,2144
68.00-69.00,sec,3.29,MBytes,27.6,Mbits/sec,2386
69.00-70.00,sec,3.31,MBytes,27.8,Mbits/sec,2398
70.00-71.00,sec,3.21,MBytes,27,Mbits/sec,2327
71.00-72.00,sec,3.25,MBytes,27.3,Mbits/sec,2353
72.00-73.00,sec,3.43,MBytes,28.8,Mbits/sec,2483
73.00-74.00,sec,3.27,MBytes,27.4,Mbits/sec,2367
74.00-75.00,sec,3.07,MBytes,25.7,Mbits/sec,2222
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,250,MBytes,28,Mbits/sec,0.000 ms  0/181131 (0%)  sender
0.00-75.06,sec,250,MBytes,28,Mbits/sec,0.521 ms  0/181130 (0%)  receiver
,,,,,,
Done.,,,,,,
