-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 34480
[  5] local 192.168.2.1 port 5201 connected to 192.168.2.4 port 45945
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec   973 KBytes  7.97 Mbits/sec  0.464 ms  0/688 (0%)  
[  5]  74.00-75.00  sec   977 KBytes  8.00 Mbits/sec  0.447 ms  0/691 (0%)  
[  5]  75.00-76.00  sec   976 KBytes  7.99 Mbits/sec  0.513 ms  0/690 (0%)  
[  5]  76.00-77.00  sec   977 KBytes  8.00 Mbits/sec  0.487 ms  0/691 (0%)  
[  5]  77.00-78.00  sec   977 KBytes  8.00 Mbits/sec  0.442 ms  0/691 (0%)  
[  5]  78.00-79.00  sec   977 KBytes  8.00 Mbits/sec  0.425 ms  0/691 (0%)  
[  5]  79.00-80.00  sec   976 KBytes  7.99 Mbits/sec  0.683 ms  0/690 (0%)  
[  5]  80.00-81.00  sec   977 KBytes  8.00 Mbits/sec  0.459 ms  0/691 (0%)  
[  5]  81.00-82.00  sec   976 KBytes  7.99 Mbits/sec  0.650 ms  0/690 (0%)  
[  5]  82.00-83.00  sec   977 KBytes  8.00 Mbits/sec  0.264 ms  0/691 (0%)  
[  5]  83.00-84.00  sec   976 KBytes  7.99 Mbits/sec  0.475 ms  0/690 (0%)  
[  5]  84.00-85.00  sec   974 KBytes  7.98 Mbits/sec  0.463 ms  0/689 (0%)  
[  5]  85.00-86.00  sec   979 KBytes  8.02 Mbits/sec  0.409 ms  0/692 (0%)  
[  5]  85.00-86.00  sec   979 KBytes  8.02 Mbits/sec  0.409 ms  0/692 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-86.00  sec  82.7 MBytes  8.06 Mbits/sec  0.330 ms  0/59865 (0%)  receiver
-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
