Interval,,Tran,sfer,Bitr,ate,Total Datagrams
64.00-65.00,sec,1.47,MBytes,12.4,Mbits/sec,1066
65.00-66.00,sec,1.42,MBytes,11.9,Mbits/sec,1027
66.00-67.00,sec,1.45,MBytes,12.2,Mbits/sec,1053
67.00-68.00,sec,1.51,MBytes,12.6,Mbits/sec,1092
68.00-69.00,sec,1.46,MBytes,12.2,Mbits/sec,1057
69.00-70.00,sec,1.29,MBytes,10.8,Mbits/sec,932
70.00-71.00,sec,1.51,MBytes,12.6,Mbits/sec,1092
71.00-72.00,sec,1.42,MBytes,11.9,Mbits/sec,1027
72.00-73.00,sec,1.4,MBytes,11.7,Mbits/sec,1014
73.00-74.00,sec,1.26,MBytes,10.5,Mbits/sec,910
74.00-75.00,sec,1.47,MBytes,12.3,Mbits/sec,1066
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,134,MBytes,15,Mbits/sec,0.000 ms  0/97117 (0%)  sender
0.00-75.06,sec,134,MBytes,15,Mbits/sec,1.140 ms  0/97115 (0%)  receiver
,,,,,,
Done.,,,,,,
