Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
36.00-37.00,sec,3.63,MBytes,30.5,Mbits/sec,0.473,ms,0/2630,0%
37.00-38.00,sec,3.52,MBytes,29.5,Mbits/sec,0.805,ms,0/2550,0%
38.00-39.00,sec,3.32,MBytes,27.8,Mbits/sec,0.642,ms,0/2402,0%
39.00-40.00,sec,3.18,MBytes,26.7,Mbits/sec,0.535,ms,0/2304,0%
40.00-41.00,sec,2.69,MBytes,22.6,Mbits/sec,1.743,ms,0/1951,0%
41.00-42.00,sec,3.09,MBytes,25.9,Mbits/sec,0.724,ms,0/2237,0%
42.00-43.00,sec,3.25,MBytes,27.2,Mbits/sec,0.499,ms,0/2352,0%
43.00-44.00,sec,3.61,MBytes,30.3,Mbits/sec,0.705,ms,0/2615,0%
44.00-45.00,sec,3.67,MBytes,30.8,Mbits/sec,0.629,ms,0/2655,0%
45.00-46.00,sec,3.5,MBytes,29.3,Mbits/sec,0.731,ms,0/2531,0%
46.00-47.00,sec,3.45,MBytes,28.9,Mbits/sec,0.895,ms,0/2499,0%
47.00-48.00,sec,3.47,MBytes,29.1,Mbits/sec,0.676,ms,0/2513,0%
48.00-49.00,sec,3.67,MBytes,30.8,Mbits/sec,0.519,ms,0/2656,0%
49.00-50.00,sec,3.2,MBytes,26.8,Mbits/sec,0.576,ms,0/2314,0%
50.00-51.00,sec,2.78,MBytes,23.3,Mbits/sec,0.72,ms,0/2012,0%
51.00-52.00,sec,3.18,MBytes,26.7,Mbits/sec,0.621,ms,0/2304,0%
52.00-53.00,sec,3.29,MBytes,27.6,Mbits/sec,0.715,ms,0/2383,0%
53.00-54.00,sec,3.23,MBytes,27.1,Mbits/sec,0.695,ms,0/2341,0%
54.00-55.00,sec,3.23,MBytes,27.1,Mbits/sec,0.606,ms,0/2342,0%
55.00-56.00,sec,3.19,MBytes,26.7,Mbits/sec,0.675,ms,0/2309,0%
56.00-57.00,sec,3.44,MBytes,28.8,Mbits/sec,0.517,ms,0/2488,0%
57.00-58.00,sec,3.29,MBytes,27.6,Mbits/sec,1.599,ms,0/2380,0%
58.00-59.00,sec,3.49,MBytes,29.2,Mbits/sec,0.537,ms,0/2524,0%
59.00-60.00,sec,3,MBytes,25.2,Mbits/sec,1.028,ms,0/2173,0%
60.00-61.00,sec,3.34,MBytes,28,Mbits/sec,0.564,ms,0/2418,0%
61.00-62.00,sec,3.17,MBytes,26.6,Mbits/sec,0.459,ms,0/2294,0%
62.00-63.00,sec,3.35,MBytes,28.1,Mbits/sec,1.299,ms,0/2426,0%
63.00-64.00,sec,3.49,MBytes,29.3,Mbits/sec,0.441,ms,0/2530,0%
64.00-65.00,sec,3.02,MBytes,25.3,Mbits/sec,0.556,ms,0/2188,0%
65.00-66.00,sec,3.39,MBytes,28.4,Mbits/sec,0.635,ms,0/2453,0%
66.00-67.00,sec,3.29,MBytes,27.6,Mbits/sec,0.819,ms,0/2382,0%
67.00-68.00,sec,3.49,MBytes,29.3,Mbits/sec,0.728,ms,0/2527,0%
68.00-69.00,sec,3.2,MBytes,26.8,Mbits/sec,0.63,ms,0/2315,0%
69.00-70.00,sec,3.42,MBytes,28.6,Mbits/sec,0.929,ms,0/2473,0%
70.00-71.00,sec,3.5,MBytes,29.4,Mbits/sec,0.627,ms,0/2538,0%
71.00-72.00,sec,3.46,MBytes,29,Mbits/sec,0.855,ms,0/2505,0%
72.00-73.00,sec,3.5,MBytes,29.4,Mbits/sec,0.62,ms,0/2535,0%
73.00-74.00,sec,3.36,MBytes,28.2,Mbits/sec,0.534,ms,0/2432,0%
74.00-75.00,sec,3.31,MBytes,27.8,Mbits/sec,0.638,ms,0/2397,0%
75.00-75.04,sec,167,KBytes,30.6,Mbits/sec,0.477,ms,0/118,0%
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.04,sec,255,MBytes,28.6,Mbits/sec,0.477,ms,0/1850,00 (0%)  receiver
