Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
59.00-60.00,sec,1.91,MBytes,16,Mbits/sec,0.401,ms,0/1384,0%
60.00-61.00,sec,1.9,MBytes,15.9,Mbits/sec,0.679,ms,0/1375,0%
61.00-62.00,sec,1.88,MBytes,15.8,Mbits/sec,1.143,ms,0/1361,0%
62.00-63.00,sec,1.94,MBytes,16.3,Mbits/sec,0.188,ms,0/1408,0%
63.00-64.00,sec,1.91,MBytes,16,Mbits/sec,0.375,ms,0/1381,0%
64.00-65.00,sec,1.9,MBytes,15.9,Mbits/sec,0.623,ms,0/1375,0%
65.00-66.00,sec,1.92,MBytes,16.1,Mbits/sec,0.183,ms,0/1387,0%
66.00-67.00,sec,1.91,MBytes,16,Mbits/sec,0.351,ms,0/1382,0%
67.00-68.00,sec,1.89,MBytes,15.9,Mbits/sec,0.749,ms,0/1372,0%
68.00-69.00,sec,1.92,MBytes,16.1,Mbits/sec,0.292,ms,0/1390,0%
69.00-70.00,sec,1.91,MBytes,16,Mbits/sec,0.286,ms,0/1382,0%
70.00-71.00,sec,1.91,MBytes,16,Mbits/sec,0.308,ms,0/1381,0%
71.00-72.00,sec,1.91,MBytes,16,Mbits/sec,0.357,ms,0/1381,0%
72.00-73.00,sec,1.91,MBytes,16,Mbits/sec,0.292,ms,0/1380,0%
73.00-74.00,sec,1.91,MBytes,16,Mbits/sec,0.67,ms,0/1381,0%
74.00-75.00,sec,1.91,MBytes,16,Mbits/sec,0.583,ms,0/1383,0%
75.00-75.01,sec,9.9,KBytes,7.82,Mbits/sec,0.654,ms,0/7 (0,%)
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.01,sec,143,MBytes,16,Mbits/sec,0.654,ms,0/1035,88 (0%)  receiver
