Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
62.01-63.00,sec,3.37,MBytes,28.5,Mbits/sec,0.542,ms,0/2443,0%
63.00-64.00,sec,3.22,MBytes,27,Mbits/sec,0.548,ms,0/2331,0%
64.00-65.00,sec,2.79,MBytes,23.4,Mbits/sec,0.775,ms,0/2021,0%
65.00-66.00,sec,2.94,MBytes,24.6,Mbits/sec,0.533,ms,0/2127,0%
66.00-67.00,sec,3.42,MBytes,28.7,Mbits/sec,0.574,ms,0/2475,0%
67.00-68.00,sec,2.96,MBytes,24.8,Mbits/sec,0.693,ms,0/2140,0%
68.00-69.00,sec,3.29,MBytes,27.6,Mbits/sec,0.655,ms,0/2385,0%
69.00-70.00,sec,3.32,MBytes,27.8,Mbits/sec,0.938,ms,0/2402,0%
70.00-71.00,sec,3.21,MBytes,26.9,Mbits/sec,1.464,ms,0/2326,0%
71.00-72.01,sec,3.24,MBytes,27,Mbits/sec,1.135,ms,0/2347,0%
72.01-73.00,sec,3.44,MBytes,29,Mbits/sec,0.553,ms,0/2488,0%
73.00-74.00,sec,3.27,MBytes,27.4,Mbits/sec,0.695,ms,0/2369,0%
74.00-75.00,sec,3.06,MBytes,25.7,Mbits/sec,0.534,ms,0/2218,0%
75.00-75.06,sec,167,KBytes,21.5,Mbits/sec,0.521,ms,0/118,0%
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.06,sec,250,MBytes,28,Mbits/sec,0.521,ms,0/1811,30 (0%)  receiver
