Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
53.00-54.00,sec,3.46,MBytes,29.1,Mbits/sec,0.625,ms,0/2508,0%
54.00-55.00,sec,3.26,MBytes,27.4,Mbits/sec,0.62,ms,0/2364,0%
55.00-56.00,sec,3.61,MBytes,30.3,Mbits/sec,0.805,ms,0/2613,0%
56.00-57.00,sec,2.9,MBytes,24.3,Mbits/sec,0.775,ms,0/2097,0%
57.00-58.00,sec,3.42,MBytes,28.7,Mbits/sec,0.755,ms,0/2474,0%
58.00-59.00,sec,2.92,MBytes,24.5,Mbits/sec,1.164,ms,0/2115,0%
59.00-60.00,sec,3.1,MBytes,26,Mbits/sec,0.525,ms,0/2243,0%
60.00-61.00,sec,2.98,MBytes,25,Mbits/sec,0.614,ms,0/2158,0%
61.00-62.00,sec,2.94,MBytes,24.7,Mbits/sec,0.73,ms,0/2130,0%
62.00-63.00,sec,3.27,MBytes,27.4,Mbits/sec,0.607,ms,0/2366,0%
63.00-64.00,sec,3.48,MBytes,29.2,Mbits/sec,0.636,ms,0/2522,0%
64.00-65.00,sec,3.16,MBytes,26.5,Mbits/sec,0.693,ms,0/2291,0%
65.00-66.00,sec,3.33,MBytes,28,Mbits/sec,1.159,ms,0/2414,0%
66.00-67.00,sec,3.43,MBytes,28.8,Mbits/sec,0.563,ms,0/2487,0%
67.00-68.00,sec,3.19,MBytes,26.8,Mbits/sec,1.369,ms,0/2313,0%
68.00-69.00,sec,3.51,MBytes,29.4,Mbits/sec,0.841,ms,0/2541,0%
69.00-70.00,sec,3.34,MBytes,28.1,Mbits/sec,0.641,ms,0/2422,0%
70.00-71.00,sec,3.38,MBytes,28.4,Mbits/sec,0.626,ms,0/2448,0%
71.00-72.00,sec,3.39,MBytes,28.5,Mbits/sec,0.543,ms,0/2456,0%
72.00-73.00,sec,3.65,MBytes,30.6,Mbits/sec,0.529,ms,0/2641,0%
73.00-74.00,sec,3.51,MBytes,29.5,Mbits/sec,0.62,ms,0/2544,0%
74.00-75.00,sec,3.6,MBytes,30.2,Mbits/sec,1.095,ms,0/2608,0%
75.00-75.04,sec,161,KBytes,30.8,Mbits/sec,0.468,ms,0/114,0%
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.04,sec,243,MBytes,27.2,Mbits/sec,0.468,ms,0/1760,52 (0%)  receiver
