Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
29.00-30.00,sec,2.63,MBytes,22,Mbits/sec,0.847,ms,0/1902,0%
30.00-31.00,sec,2.66,MBytes,22.3,Mbits/sec,0.16,ms,0/1929,0%
31.00-32.00,sec,2.62,MBytes,22,Mbits/sec,0.392,ms,0/1899,0%
32.00-33.00,sec,2.62,MBytes,21.9,Mbits/sec,0.449,ms,0/1894,0%
33.00-34.00,sec,2.61,MBytes,21.9,Mbits/sec,0.597,ms,0/1893,0%
34.00-35.00,sec,2.64,MBytes,22.1,Mbits/sec,0.619,ms,0/1910,0%
35.00-36.00,sec,2.59,MBytes,21.7,Mbits/sec,0.527,ms,0/1872,0%
36.00-37.00,sec,2.65,MBytes,22.2,Mbits/sec,0.498,ms,0/1916,0%
37.00-38.00,sec,2.64,MBytes,22.1,Mbits/sec,0.386,ms,0/1910,0%
38.00-39.00,sec,2.62,MBytes,22,Mbits/sec,0.22,ms,0/1897,0%
39.00-40.00,sec,2.62,MBytes,22,Mbits/sec,0.254,ms,0/1896,0%
40.00-41.00,sec,2.61,MBytes,21.9,Mbits/sec,0.496,ms,0/1891,0%
41.00-42.00,sec,2.64,MBytes,22.1,Mbits/sec,0.232,ms,0/1912,0%
42.00-43.00,sec,2.62,MBytes,22,Mbits/sec,0.619,ms,0/1898,0%
43.00-44.00,sec,2.62,MBytes,22,Mbits/sec,0.527,ms,0/1895,0%
44.00-45.00,sec,2.57,MBytes,21.6,Mbits/sec,0.57,ms,0/1863,0%
45.00-46.00,sec,2.67,MBytes,22.4,Mbits/sec,0.604,ms,0/1935,0%
46.00-47.00,sec,2.62,MBytes,22,Mbits/sec,0.407,ms,0/1896,0%
47.00-48.00,sec,2.64,MBytes,22.1,Mbits/sec,0.203,ms,0/1909,0%
48.00-49.00,sec,2.61,MBytes,21.9,Mbits/sec,0.443,ms,0/1888,0%
49.00-50.00,sec,2.5,MBytes,21,Mbits/sec,0.759,ms,0/1813,0%
50.00-51.00,sec,2.73,MBytes,22.9,Mbits/sec,0.381,ms,0/1978,0%
51.00-52.00,sec,2.64,MBytes,22.2,Mbits/sec,0.628,ms,0/1913,0%
52.00-53.00,sec,2.63,MBytes,22,Mbits/sec,0.251,ms,0/1903,0%
53.00-54.00,sec,2.62,MBytes,22,Mbits/sec,0.24,ms,0/1900,0%
54.00-55.00,sec,2.62,MBytes,22,Mbits/sec,0.246,ms,0/1899,0%
55.00-56.00,sec,2.62,MBytes,22,Mbits/sec,0.183,ms,0/1899,0%
56.00-57.00,sec,2.62,MBytes,22,Mbits/sec,0.286,ms,0/1899,0%
57.00-58.00,sec,2.55,MBytes,21.4,Mbits/sec,0.904,ms,0/1848,0%
58.00-59.00,sec,2.68,MBytes,22.5,Mbits/sec,0.79,ms,0/1941,0%
59.00-60.00,sec,2.63,MBytes,22.1,Mbits/sec,0.432,ms,0/1907,0%
60.00-61.00,sec,2.62,MBytes,22,Mbits/sec,0.512,ms,0/1896,0%
61.00-62.00,sec,2.62,MBytes,21.9,Mbits/sec,0.719,ms,0/1894,0%
62.00-63.00,sec,2.62,MBytes,22,Mbits/sec,0.349,ms,0/1900,0%
63.00-64.00,sec,2.62,MBytes,21.9,Mbits/sec,0.674,ms,0/1894,0%
64.00-65.00,sec,2.64,MBytes,22.2,Mbits/sec,0.642,ms,0/1913,0%
65.00-66.00,sec,2.62,MBytes,22,Mbits/sec,0.157,ms,0/1900,0%
66.00-67.00,sec,2.62,MBytes,21.9,Mbits/sec,0.56,ms,0/1894,0%
67.00-68.00,sec,2.61,MBytes,21.9,Mbits/sec,0.851,ms,0/1892,0%
68.00-69.00,sec,2.64,MBytes,22.1,Mbits/sec,0.191,ms,0/1911,0%
69.00-70.00,sec,2.62,MBytes,22,Mbits/sec,0.282,ms,0/1899,0%
70.00-71.00,sec,2.58,MBytes,21.6,Mbits/sec,0.869,ms,0/1866,0%
71.00-72.00,sec,2.67,MBytes,22.4,Mbits/sec,0.625,ms,0/1931,0%
72.00-73.00,sec,2.62,MBytes,22,Mbits/sec,0.237,ms,0/1900,0%
73.00-74.00,sec,2.58,MBytes,21.6,Mbits/sec,0.843,ms,0/1869,0%
74.00-75.00,sec,2.67,MBytes,22.4,Mbits/sec,0.253,ms,0/1930,0%
75.00-75.01,sec,14.1,KBytes,20.9,Mbits/sec,0.192,ms,0/10 (,0%)
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.01,sec,197,MBytes,22,Mbits/sec,0.192,ms,0/1424,37 (0%)  receiver
