Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
53.00-54.00,sec,2.86,MBytes,24,Mbits/sec,0.335,ms,0/2072,0%
54.00-55.00,sec,2.8,MBytes,23.5,Mbits/sec,0.737,ms,0/2029,0%
55.00-56.00,sec,2.92,MBytes,24.5,Mbits/sec,0.459,ms,0/2115,0%
56.00-57.00,sec,2.73,MBytes,22.9,Mbits/sec,1.099,ms,0/1977,0%
57.00-58.00,sec,2.97,MBytes,24.9,Mbits/sec,0.678,ms,0/2148,0%
58.00-59.00,sec,2.88,MBytes,24.2,Mbits/sec,0.577,ms,0/2086,0%
59.00-60.00,sec,2.81,MBytes,23.6,Mbits/sec,0.994,ms,0/2033,0%
60.00-61.00,sec,2.9,MBytes,24.3,Mbits/sec,0.628,ms,0/2098,0%
61.00-62.00,sec,2.88,MBytes,24.1,Mbits/sec,0.278,ms,0/2084,0%
62.00-63.00,sec,2.87,MBytes,24.1,Mbits/sec,0.387,ms,0/2078,0%
63.00-64.00,sec,2.86,MBytes,24,Mbits/sec,0.208,ms,0/2070,0%
64.00-65.00,sec,2.8,MBytes,23.5,Mbits/sec,0.629,ms,0/2029,0%
65.00-66.00,sec,2.91,MBytes,24.4,Mbits/sec,0.761,ms,0/2107,0%
66.00-67.00,sec,2.85,MBytes,23.9,Mbits/sec,0.791,ms,0/2063,0%
67.00-68.00,sec,2.88,MBytes,24.2,Mbits/sec,0.305,ms,0/2089,0%
68.00-69.00,sec,2.86,MBytes,24,Mbits/sec,0.28,ms,0/2073,0%
69.00-70.00,sec,2.86,MBytes,24,Mbits/sec,0.226,ms,0/2071,0%
70.00-71.00,sec,2.86,MBytes,24,Mbits/sec,0.323,ms,0/2071,0%
71.00-72.00,sec,2.86,MBytes,24,Mbits/sec,0.321,ms,0/2070,0%
72.00-73.00,sec,2.85,MBytes,23.9,Mbits/sec,0.689,ms,0/2063,0%
73.00-74.00,sec,2.74,MBytes,23,Mbits/sec,0.383,ms,0/1983,0%
74.00-75.00,sec,2.99,MBytes,25.1,Mbits/sec,0.363,ms,0/2163,0%
75.00-75.00,sec,14.1,KBytes,28.4,Mbits/sec,0.274,ms,0/10 (,0%)
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.00,sec,215,MBytes,24,Mbits/sec,0.274,ms,0/1553,83 (0%)  receiver
