Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
43.00-44.00,sec,491,KBytes,4.02,Mbits/sec,1.041,ms,0/347,0%
44.00-45.00,sec,485,KBytes,3.97,Mbits/sec,1.125,ms,0/343,0%
45.00-46.00,sec,491,KBytes,4.02,Mbits/sec,1.343,ms,0/347,0%
46.00-47.00,sec,488,KBytes,4,Mbits/sec,0.796,ms,0/345,0%
47.00-48.00,sec,489,KBytes,4.01,Mbits/sec,1.012,ms,0/346,0%
48.00-49.00,sec,488,KBytes,4,Mbits/sec,0.997,ms,0/345,0%
49.00-50.00,sec,488,KBytes,4,Mbits/sec,0.855,ms,0/345,0%
50.00-51.00,sec,489,KBytes,4.01,Mbits/sec,1.124,ms,0/346,0%
51.00-52.00,sec,486,KBytes,3.98,Mbits/sec,0.79,ms,0/344,0%
52.00-53.00,sec,489,KBytes,4.01,Mbits/sec,0.694,ms,0/346,0%
53.00-54.00,sec,489,KBytes,4.01,Mbits/sec,1.144,ms,0/346,0%
54.00-55.00,sec,488,KBytes,4,Mbits/sec,0.623,ms,0/345,0%
55.00-56.00,sec,489,KBytes,4.01,Mbits/sec,0.537,ms,0/346,0%
56.00-57.00,sec,488,KBytes,4,Mbits/sec,0.403,ms,0/345,0%
57.00-58.00,sec,486,KBytes,3.99,Mbits/sec,0.914,ms,0/344,0%
58.00-59.00,sec,489,KBytes,4.01,Mbits/sec,0.848,ms,0/346,0%
59.00-60.00,sec,489,KBytes,4.01,Mbits/sec,0.812,ms,0/346,0%
60.00-61.00,sec,486,KBytes,3.98,Mbits/sec,0.782,ms,0/344,0%
61.00-62.00,sec,488,KBytes,4,Mbits/sec,1.319,ms,0/345,0%
62.00-63.00,sec,491,KBytes,4.02,Mbits/sec,0.974,ms,0/347,0%
63.00-64.00,sec,488,KBytes,4,Mbits/sec,1.075,ms,0/345,0%
64.00-65.00,sec,488,KBytes,4,Mbits/sec,1.096,ms,0/345,0%
65.00-66.00,sec,488,KBytes,4,Mbits/sec,0.731,ms,0/345,0%
66.00-67.00,sec,489,KBytes,4.01,Mbits/sec,1.24,ms,0/346,0%
67.00-68.00,sec,486,KBytes,3.98,Mbits/sec,1.236,ms,0/344,0%
68.00-69.00,sec,489,KBytes,4.01,Mbits/sec,0.861,ms,0/346,0%
69.00-70.00,sec,489,KBytes,4.01,Mbits/sec,1.037,ms,0/346,0%
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-70.00,sec,33.4,MBytes,4,Mbits/sec,1.037,ms,0/241,71 (0%)  receiver
