Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
34.00-35.00,sec,1.64,MBytes,13.8,Mbits/sec,1.243,ms,0/1188,0%
35.00-36.00,sec,1.7,MBytes,14.2,Mbits/sec,0.138,ms,0/1229,0%
36.00-37.00,sec,1.67,MBytes,14,Mbits/sec,0.422,ms,0/1210,0%
37.00-38.00,sec,1.64,MBytes,13.8,Mbits/sec,0.939,ms,0/1191,0%
38.00-39.00,sec,1.69,MBytes,14.2,Mbits/sec,0.247,ms,0/1225,0%
39.00-40.00,sec,1.67,MBytes,14,Mbits/sec,0.323,ms,0/1209,0%
40.00-41.00,sec,1.67,MBytes,14,Mbits/sec,0.772,ms,0/1208,0%
41.00-42.00,sec,1.66,MBytes,14,Mbits/sec,0.617,ms,0/1205,0%
42.00-43.00,sec,1.67,MBytes,14,Mbits/sec,0.24,ms,0/1212,0%
43.00-44.00,sec,1.67,MBytes,14,Mbits/sec,0.549,ms,0/1210,0%
44.00-45.00,sec,1.66,MBytes,13.9,Mbits/sec,0.909,ms,0/1199,0%
45.00-46.00,sec,1.68,MBytes,14.1,Mbits/sec,0.418,ms,0/1215,0%
46.00-47.00,sec,1.67,MBytes,14,Mbits/sec,0.483,ms,0/1210,0%
47.00-48.00,sec,1.66,MBytes,13.9,Mbits/sec,0.883,ms,0/1202,0%
48.00-49.00,sec,1.67,MBytes,14,Mbits/sec,0.747,ms,0/1209,0%
49.00-50.00,sec,1.68,MBytes,14.1,Mbits/sec,0.677,ms,0/1214,0%
50.00-51.00,sec,1.66,MBytes,14,Mbits/sec,0.703,ms,0/1205,0%
51.00-52.00,sec,1.68,MBytes,14.1,Mbits/sec,0.456,ms,0/1214,0%
52.00-53.00,sec,1.67,MBytes,14,Mbits/sec,0.306,ms,0/1209,0%
53.00-54.00,sec,1.64,MBytes,13.7,Mbits/sec,1.177,ms,0/1185,0%
54.00-55.00,sec,1.7,MBytes,14.2,Mbits/sec,0.493,ms,0/1228,0%
55.00-56.00,sec,1.67,MBytes,14,Mbits/sec,0.232,ms,0/1212,0%
56.00-57.00,sec,1.66,MBytes,13.9,Mbits/sec,0.915,ms,0/1199,0%
57.00-58.00,sec,1.68,MBytes,14.1,Mbits/sec,0.478,ms,0/1215,0%
58.00-59.00,sec,1.67,MBytes,14,Mbits/sec,0.545,ms,0/1212,0%
59.00-60.00,sec,1.65,MBytes,13.9,Mbits/sec,0.634,ms,0/1198,0%
60.00-61.00,sec,1.67,MBytes,14,Mbits/sec,0.88,ms,0/1211,0%
61.00-62.00,sec,1.68,MBytes,14.1,Mbits/sec,0.439,ms,0/1214,0%
62.00-63.00,sec,1.67,MBytes,14,Mbits/sec,0.791,ms,0/1210,0%
63.00-64.00,sec,1.64,MBytes,13.8,Mbits/sec,1.071,ms,0/1190,0%
64.00-65.00,sec,1.69,MBytes,14.2,Mbits/sec,0.44,ms,0/1225,0%
65.00-66.00,sec,1.67,MBytes,14,Mbits/sec,0.62,ms,0/1211,0%
66.00-67.00,sec,1.66,MBytes,14,Mbits/sec,0.483,ms,0/1205,0%
67.00-68.00,sec,1.67,MBytes,14,Mbits/sec,0.456,ms,0/1209,0%
68.00-69.00,sec,1.68,MBytes,14.1,Mbits/sec,0.255,ms,0/1213,0%
69.00-70.00,sec,1.66,MBytes,13.9,Mbits/sec,0.732,ms,0/1201,0%
70.00-71.00,sec,1.68,MBytes,14.1,Mbits/sec,0.219,ms,0/1215,0%
71.00-72.00,sec,1.67,MBytes,14,Mbits/sec,0.479,ms,0/1208,0%
72.00-73.00,sec,1.66,MBytes,13.9,Mbits/sec,0.924,ms,0/1202,0%
73.00-74.00,sec,1.66,MBytes,13.9,Mbits/sec,0.878,ms,0/1202,0%
74.00-75.00,sec,1.69,MBytes,14.2,Mbits/sec,0.255,ms,0/1222,0%
75.00-75.01,sec,12.7,KBytes,9.41,Mbits/sec,0.747,ms,0/9 (0,%)
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.01,sec,125,MBytes,14,Mbits/sec,0.747,ms,0/9064,1 (0%)  receiver
